S-2-3-3-82-NR,0.0005998611450195312,39,[[[2, 2, 2, 1], [2, 2, 1, 2], [1, 2, 1, 1]], [[1, 1, 1, 1], [1, 2, 2, 1], [2, 1, 2, 2]], [[2, 1, 1, 2], [1, 1, 1, 2], [1, 2, 1, 2]]]
S-2-3-3-83-NR,0.0003707408905029297,25,[[[1, 1, 2, 1], [2, 2, 1, 2], [1, 2, 1, 1]], [[1, 1, 1, 2], [1, 2, 1, 2], [1, 1, 2, 2]], [[1, 2, 1, 1], [1, 2, 1, 1], [1, 2, 1, 2]]]
S-2-3-3-84-NR,0.0002846717834472656,23,[[[1, 1, 1, 1], [1, 2, 2, 2], [2, 1, 2, 2]], [[1, 1, 2, 2], [2, 2, 1, 1], [1, 2, 1, 1]], [[1, 2, 2, 2], [2, 1, 2, 2], [2, 1, 1, 1]]]
S-2-3-3-85-NR,0.0007250308990478516,86,[[[1, 1, 2, 2], [2, 1, 1, 1], [1, 2, 2, 2]], [[1, 2, 2, 1], [2, 1, 2, 2], [2, 2, 1, 1]], [[1, 1, 1, 1], [1, 2, 1, 2], [1, 1, 1, 2]]]
S-2-3-3-86-NR,0.00018453598022460938,18,[[[1, 1, 1, 1], [1, 2, 1, 2], [1, 1, 2, 2]], [[1, 1, 2, 2], [2, 2, 2, 1], [2, 2, 1, 1]], [[2, 2, 2, 2], [2, 1, 2, 2], [2, 1, 1, 1]]]
S-2-3-3-87-NR,0.00035572052001953125,39,[[[1, 1, 2, 1], [2, 2, 2, 1], [2, 1, 1, 2]], [[2, 1, 1, 2], [1, 1, 1, 2], [1, 2, 1, 2]], [[1, 2, 2, 1], [2, 2, 2, 1], [2, 2, 2, 2]]]
S-2-3-3-88-NR,0.0006821155548095703,84,[[[2, 2, 2, 1], [2, 1, 1, 2], [1, 2, 2, 2]], [[2, 1, 1, 2], [1, 2, 1, 1], [1, 2, 1, 2]], [[1, 2, 2, 2], [2, 1, 1, 1], [1, 2, 1, 1]]]
S-2-3-3-89-NR,0.0019078254699707031,225,[[[1, 2, 1, 2], [1, 2, 1, 1], [1, 1, 1, 1]], [[1, 2, 2, 1], [2, 1, 2, 1], [2, 1, 2, 1]], [[2, 1, 2, 1], [2, 1, 2, 1], [2, 1, 2, 2]]]
S-2-3-3-90-NR,0.00018668174743652344,17,[[[2, 1, 1, 1], [1, 2, 2, 1], [2, 2, 2, 2]], [[1, 1, 1, 2], [1, 1, 1, 1], [1, 2, 1, 1]], [[1, 2, 2, 2], [2, 1, 1, 2], [1, 1, 2, 1]]]
S-2-3-3-91-NR,0.0038635730743408203,472,[[[1, 2, 2, 2], [2, 1, 1, 2], [1, 1, 2, 1]], [[2, 2, 2, 1], [2, 2, 2, 2], [2, 1, 1, 2]], [[2, 1, 2, 2], [2, 2, 1, 2], [1, 2, 2, 1]]]
S-2-3-3-92-NR,0.0008091926574707031,97,[[[1, 2, 1, 2], [1, 2, 1, 1], [1, 1, 2, 1]], [[2, 2, 1, 2], [1, 1, 1, 2], [1, 1, 2, 2]], [[2, 2, 1, 1], [1, 2, 2, 1], [2, 2, 1, 1]]]
S-2-3-3-93-NR,0.0008480548858642578,102,[[[1, 1, 1, 2], [1, 1, 1, 2], [1, 2, 1, 2]], [[2, 2, 2, 1], [2, 2, 2, 2], [2, 2, 1, 1]], [[2, 1, 1, 1], [1, 2, 1, 1], [1, 1, 2, 1]]]
S-2-3-3-94-NR,0.0070953369140625,777,[[[1, 1, 2, 1], [2, 2, 1, 2], [1, 2, 2, 2]], [[1, 1, 2, 1], [2, 2, 2, 2], [2, 2, 2, 2]], [[2, 1, 1, 2], [1, 2, 2, 2], [2, 2, 2, 1]]]
S-2-3-3-95-NR,0.006978273391723633,876,[[[1, 2, 2, 2], [2, 1, 2, 2], [2, 1, 1, 1]], [[1, 2, 1, 2], [1, 2, 2, 1], [2, 1, 1, 1]], [[1, 2, 1, 2], [1, 1, 2, 1], [2, 1, 2, 1]]]
